,title,publication_date
834,Challenges and lessons learnt from conducting a health survey in an ethnically diverse population.,2021-10-30
835,Making Patient Care Bilingual: Improving Equitable Access to Patient Care Through Spanish MyChart Patient Portal.,2021-10-29
836,Auditory-Motor Mapping Training Facilitates Speech and Word Learning in Tone Language-Speaking Children With Autism: An Early Efficacy Study.,2021-10-28
837,Challenges with social distancing during the COVID-19 pandemic among Hispanics in New York City: a qualitative study.,2021-10-28
838,Improvement in executive function for older adults through smartphone apps: a randomized clinical trial comparing language learning and brain training.,2021-10-26
839,Listeners' Linguistic Experience Affects the Degree of Perceived Nativeness of First Language Pronunciation.,2021-10-26
840,Assignment of Grammatical Gender in Heritage Greek.,2021-10-26
841,The coarticulation-duration relationship in early Quechua speech.,2021-10-26
842,Using a Foreign Language Changes Medical Judgments of Preventative Care.,2021-10-24
843,Spanish input accelerates bilingual infants' segmentation of English words.,2021-10-23
844,Using an E-learning activity to enhance student nurses' understanding of cognitive impairment.,2021-10-23
845,Deconstructing the Native Speaker: Further Evidence From Heritage Speakers for Why This Horse Should Be Dead!,2021-10-23
846,Aphasia in Multilingual Patients.,2021-10-22
847,Validation of the Korean version of the composite autonomic symptom scale 31 in patients with Parkinson's disease.,2021-10-22
848,Input quality and speech perception development in bilingual infants' first year of life.,2021-10-21
849,German translation and pre-testing of Consolidated Framework for Implementation Research (CFIR) and Expert Recommendations for Implementing Change (ERIC).,2021-10-21
850,Alzheimer's Disease in Bilingual Latinos: Clinical Decisions for Diagnosis and Treatment Planning.,2021-10-19
851,Cross-Dialectal Novel Word Learning and Borrowing.,2021-10-19
852,Does L2 Proficiency Impact L2-L1 Transfer While Reading L1 Collocations? Evidence From Behavioral and ERP Data.,2021-10-19
853,Crosslinguistic Influence (CLI) of Lexical Breadth and Depth in the Vocabulary of Bilingual Kindergarten Children - A Bilingual Intervention Study.,2021-10-19
854,Perceived Barriers to Weight Loss among Hispanic Patients with Non-alcoholic Fatty Liver Disease.,2021-10-19
855,Assessment of minority language skills in English-Irish-speaking bilingual children: A survey of SLT perspectives and current practices.,2021-10-19
856,"""It's Like Stealing What Should be Theirs."" An Exploration of the Experiences and Perspectives of Parents and Educational Practitioners on Hebrew-English Bilingualism for Jewish Autistic Children.",2021-10-17
857,Acoustic characteristics of Korean-English bilingual speakers' /l/ and the relationship to their foreign accent ratings.,2021-10-16
858,False Memories in Native and Foreign Languages.,2021-10-16
859,The Influence of Cross-Linguistic Similarity and Language Background on Writing to Dictation.,2021-10-16
860,Early bilingual immersion school program and cognitive development in French-speaking children: Effect of the second language learned (English vs. Dutch) and exposition duration (2 vs. 5 years).,2021-10-15
861,Home language maintenance in bilingual children with normal hearing and with hearing loss who use cochlear implants.,2021-10-15
862,Towards development of guidelines for virtual administration of paediatric standardized language and literacy assessments: Considerations for clinicians and researchers.,2021-10-15
863,Assessing Without Words: Verbally Incomplete Utterances in Complaints.,2021-10-15
864,O-JMeSH: creating a bilingual English-Japanese controlled vocabulary of MeSH UIDs through machine translation and mutual information.,2021-10-13
865,An mHealth App to Support Fertility Patients Navigating the World of Infertility (Infotility): Development and Usability Study.,2021-10-13
866,A Mixed Methods Population Health Approach to Explore Radon-Induced Lung Cancer Risk Perception in Canada.,2021-10-13
867,Determinants of bilingualism predict dynamic changes in resting state EEG oscillations.,2021-10-12
868,Autistic People's Access to Bilingualism and Additional Language Learning: Identifying the Barriers and Facilitators for Equal Opportunities.,2021-10-12
869,Disentangling the Role of Deviant Letter Position on Cognate Word Processing.,2021-10-12
870,Cross-linguistic transfer between aspect in Cantonese and past tense in English in Cantonese-English bilingual preschool children.,2021-10-12
871,Can transportation infrastructure reduce haze pollution in China?,2021-10-11
872,Readability analysis of Spanish language patient-reported outcome measures in pediatric otolaryngology.,2021-10-11
873,Neural responses in novice learners' perceptual learning and generalization of lexical tones: The effect of training variability.,2021-10-09
874,The Implementation of Evidence-Based Obesity Education Curricula to Prevent Cancer in a Predominantly Mexican-American Community on the U.S.-Mexico Border.,2021-10-09
875,Bilingual Brains Learn to Use L2 Alliterations Covertly like Poets: Brain ERP Evidence.,2021-10-09
876,Limits of a Second Language: Native and Second Languages in Management Team Communication.,2021-10-09
877,Statistical word learning in Catalan-Spanish and English-speaking children with and without developmental language disorder.,2021-10-07
878,Sentence types and complexity of spontaneous discourse productions by Cantonese-speakers with traumatic brain injury- a preliminary report.,2021-10-07
879,Assessing the Evidence for Asymmetrical Switch Costs and Reversed Language Dominance Effects - A Meta-Analysis.,2021-10-07
880,Dataset of the vascular ,2021-10-07
881,Prosodic Disambiguation in First and Second Language Production: English and Korean.,2021-10-05
882,The Educational Environment Is Warming Up: Response to Changes in a Component of a Medical Curriculum.,2021-10-05
883,"The Bilingual Native Speaker Competence: Evidence From Explicit and Implicit Language Knowledge Using Elicited Production, Sentence-Picture Matching, and Pupillometry.",2021-10-05
884,Spoken Word Segmentation in First and Second Language: When ERP and Behavioral Measures Diverge.,2021-10-05
885,Cross-sectional Study of Colorectal Cancer Screening Barriers in a Latino-Serving Federally Qualified Health Center.,2021-10-03
886,The effect of background noise on speech perception in monolingual and bilingual adults with normal hearing.,2021-10-03
887,The time course of normalizing speech variability in vowels.,2021-10-02
888,Bilingual language entropy influences executive functions through functional connectivity and signal variability.,2021-10-02
889,Communication Challenges Faced by Spanish-Speaking Caregivers of Children with Medical Complexity: a Qualitative Study.,2021-10-02
890,Understanding the Difference Between Self-Feedback and Peer Feedback: A Comparative Study of Their Effects on Undergraduate Students' Writing Improvement.,2021-10-01
891,Music as social bonding: A cross-cultural perspective.,2021-10-01
892,Screening for Depression in Adolescents with Developmental Disabilities: Brief Report.,2021-09-29
893,The challenges and facilitators to successful translation and adaptation of written self-report psychological measures into sign languages: A systematic review.,2021-09-29
894,Forecasting Erroneous Neural Machine Translation of Disease Symptoms: Development of Bayesian Probabilistic Classifiers for Cross-Lingual Health Translation.,2021-09-29
895,Predictions about the Cognitive Consequences of Language Switching on Executive Functioning Inspired by the Adaptive Control Hypothesis Fail More Often than Not.,2021-09-29
896,Categorical Perception of Pitch Contours and Voice Onset Time in Mandarin-Speaking Adolescents With Autism Spectrum Disorders.,2021-09-28
897,What's in a word? Cross-linguistic influences on Spanish-English and Chinese-English bilingual children's word reading development.,2021-09-28
898,Extending functional communication training to multiple language contexts in bilingual learners with challenging behavior.,2021-09-28
899,Chinese-English bilinguals show linguistic-perceptual links in the brain associating short spoken phrases with corresponding real-world natural action sounds by semantic category.,2021-09-28
900,Intra-operative mapping and language protection in glioma.,2021-09-26
901,Electrophysiological signatures of attentional control in bilingual processing: Evidence from proactive interference.,2021-09-25
902,"First Language Attrition: What It Is, What It Isn't, and What It Can Be.",2021-09-25
903,Clinical handover in a bilingual setting: interpretative phenomenological analysis to exploring translanguaging practices for effective communication among hospital staff.,2021-09-25
904,Phonological predictors of nonword repetition performance in bilingual children.,2021-09-24
905,Translation and cross-cultural adaptation to Brazilian Portuguese of two brief screening tools for at-risk psychosis youth: the Prodromal Questionnaire (PQ-16) and the PRIME-Screen.,2021-09-23
906,Acceptance of COVID-19 Vaccine Among Refugees in the United States.,2021-09-22
907,Phonological Measures for Bilingual Spanish-English-Speaking Preschoolers: The Language Combination Effect.,2021-09-22
908,Do Bilinguals Acquire Similar Words to Monolinguals? An Examination of Word Acquisition and the Similarity Effect in Japanese-English Bilinguals' Vocabularies.,2021-09-21
909,The Influence of L2 Proficiency on Bilinguals' Creativity: The Key Role of Adaptive Emotion Regulation Strategies During the COVID-19 Pandemic.,2021-09-21
910,Is 10 Better than 1? The Effect of Speaker Variability on Children's Cross-situational Word Learning.,2021-09-21
911,"Development of a questionnaire to investigate socio-cultural differences in the perception of smell, taste and flavour.",2021-09-18
912,Editorial: Cognitive Reserve and Language Experience: Can Long-Term Use of Multiple Languages Protect Our Brains From the Effects of Aging?,2021-09-18
913,Research on bilingualism as discovery science.,2021-09-17
914,Language and nonlanguage factors in foreign language learning: evidence for the learning condition hypothesis.,2021-09-17
915,Latina Women in the U.S. Physician Workforce: Opportunities in the Pursuit of Health Equity.,2021-09-16
916,Do both WRAP and TRAP inhibit the recognition of the French word DRAP? Impact of orthographic markedness on cross-language orthographic priming.,2021-09-16
917,"Expertise, ecosystem, and emergentism: Dynamic developmental bilingualism.",2021-09-15
918,Structural brain changes with second language learning: A longitudinal voxel-based morphometry study.,2021-09-15
919,Is there proactive inhibitory control during bilingual and bidialectal language production?,2021-09-15
920,Efficient Estimation of Children's Language Exposure in Two Bilingual Communities.,2021-09-15
921,English BESA Morphosyntax Performance Among Spanish-English Bilinguals Who Use African American English.,2021-09-15
922,"Hispano-American Brain Bank on Neurodevelopmental Disorders: An initiative to promote brain banking, research, education, and outreach in the field of neurodevelopmental disorders.",2021-09-14
923,Measures of Bilingual Cognition - From Infancy to Adolescence.,2021-09-14
924,Modeling Bilingual Lexical Processing Through Code-Switching Speech: A Network Science Approach.,2021-09-14
925,Prevalence of Symptoms of Anxiety Among Residents of Kabul During Pandemic of COVID-19: A Report from Capital of Afghanistan.,2021-09-14
926,Assessment of aphasia: dialectal and cultural considerations in neurology.,2021-09-13
927,The executive function of bilingual and monolingual children: A technical efficiency approach.,2021-09-12
928,Revisiting the talker recognition advantage in bilingual infants.,2021-09-11
929,Cortical Thickness in bilingual and monolingual children: Relationships to language use and language skill.,2021-09-11
930,The reliability and validity of the Turkish version of the Quality of Life Questionnaire of the European Foundation for Osteoporosis-31 (QUALEFFO-31).,2021-09-10
931,Frequency and predictability effects in first and second language of different script bilinguals.,2021-09-10
932,First and Second Language at Hand: A Chronometric Transcranial-Magnetic Stimulation Study on Semantic and Motor Resonance.,2021-09-09
933,Investigating L2 reading aloud and silent reading in typically developing readers and dyslexic adolescents from grades 6 to 9.,2021-09-09
934,"Is it easier to use one language variety at a time, or mix them? An investigation of voluntary language switching with bidialectals.",2021-09-09
935,Multistage BiCross encoder for multilingual access to COVID-19 health information.,2021-09-08
936,Bilinguals are better than monolinguals in detecting manipulative discourse.,2021-09-08
937,Development of an Auditory Passage Comprehension Task for Swedish Primary School Children of Cultural and Linguistic Diversity.,2021-09-08
938,Language control in bimodal bilinguals: Evidence from ERPs.,2021-09-07
939,Swedish translation and cross-cultural adaptation of eight pediatric item banks from the Patient-Reported Outcomes Measurement Information System (PROMIS),2021-09-07
940,"Influence of Educational Background, Childhood Socioeconomic Environment, and Language Use on Cognition among Spanish-Speaking Latinos Living Near the US-Mexico Border.",2021-09-07
941,The neuroanatomical consequences and pathological implications of bilingualism.,2021-09-07
942,Lexical selection in bimodal bilinguals: ERP evidence from picture-word interference.,2021-09-07
943,Using automated acoustic analysis to explore the link between planning and articulation in second language speech production.,2021-09-07
944,Validation of the Chinese Version of KIDSCREEN-10 Quality of Life Questionnaire: A Rasch Model Estimation.,2021-09-07
945,Cross-Cultural Instrument Adaptation and Validation of Health Beliefs About Cancer Screening: A Methodological Systematic Review.,2021-09-07
946,Fine-tuning language discrimination: Bilingual and monolingual infants' detection of language switching.,2021-09-06
947,Vascular e-Learning During the COVID-19 Pandemic: The EL-COVID Survey.,2021-09-04
948,Bilingual Aphasia Test in Urdu and its Clinical Implications.,2021-09-04
949,Effects of Cognitive Load on the Categorical Perception of Mandarin Tones.,2021-09-03
950,Cross-cultural comparison of MMSE and RUDAS in German and Turkish patients with Alzheimer's disease.,2021-09-03
951,Validation of LittlEARS,2021-09-03
952,Validation of Hindi version of the Pittsburg Sleep Quality Index.,2021-09-03
953,Individual differences in representational similarity of first and second languages in the bilingual brain.,2021-09-02
954,Perceptions of Cervical Cancer Screening in Rural Guatemala.,2021-09-02
955,"Memory after visual search: Overlapping phonology, shared meaning, and bilingual experience influence what we remember.",2021-09-01
956,Promoting Health via mHealth Applications Using a French Version of the Mobile App Rating Scale: Adaptation and Validation Study.,2021-09-01
957,The MINT Sprint: Exploring a Fast Administration Procedure with an Expanded Multilingual Naming Test.,2021-09-01
958,I see what you mean: Semantic but not lexical factors modulate image processing in bilingual adults.,2021-09-01
959,ABCNet v2: Adaptive Bezier-Curve Network for Real-Time End-to-End Text Spotting.,2021-08-31
960,Advancing Intersectional Discrimination Measures for Health Disparities Research: Protocol for a Bilingual Mixed Methods Measurement Study.,2021-08-31
961,Patterns of mutual exclusivity and retention: A study of monolingual and bilingual 2-year-olds.,2021-08-31
962,Language Dominance and Sociolinguistic Experience Are Related to Language Control and Domain-General Monitoring Control: An Investigation in Bilinguals Who Live in a Minority/Majority Sociolinguistic Setting.,2021-08-31
963,The effects of emotionality and lexical category on L2 word processing in different tasks: Evidence from late Chinese-English bilinguals.,2021-08-31
964,Does language context impact the neural correlates of executive control in monolingual and multilingual young adults?,2021-08-30
965,Comprehension exposures to words in sentence contexts impact spoken word production.,2021-08-29
966,Syntactic and Semantic Influences on the Time Course of Relative Clause Processing: The Role of Language Dominance.,2021-08-28
967,Arabic validation and cross-cultural adaptation of the 5C scale for assessment of COVID-19 vaccines psychological antecedents.,2021-08-27
968,Stroke or No Stroke: A Case Report of Bilingual Aphasia.,2021-08-27
969,"[Linguistic Validation of the ""German Lung Fibrosis Health Related Quality of Life Questionnaire""].",2021-08-25
970,"A unique double tango: Construct validation and reliability analysis of risk perception, attitude and practice (RPAP) questionnaire on dengue infection.",2021-08-25
971,The process and challenges of language translation and cultural adaptation of study instruments: a case study from the NIDA CTN CHOICES-2 trial.,2021-08-24
972,"Neural Processing Underlying Executive Functions in Bilinguals: ""Heads I Win, Tails You Lose"".",2021-08-24
973,Optical Mapping of Brain Activity Underlying Directionality and Its Modulation by Expertise in Mandarin/English Interpreting.,2021-08-24
974,Bilingualism alters infants' cortical organization for attentional orienting mechanisms.,2021-08-22
975,Emerging ASL Distinctions in Sign-Speech Bilinguals' Signs and Co-speech Gestures in Placement Descriptions.,2021-08-21
976,"Translation, cultural adaptation, and psychometric properties of the Spanish version of the Combat Exposure Scale (CES-S) with U.S. military Spanish speaking Latino veterans living in the Caribbean: A cross-sectional preliminary data study.",2021-08-20
977,Promoting the get healthy information and coaching service (GHS) in Australian-Chinese communities: facilitators and barriers.,2021-08-20
978,Cerebral lateralisation of first and second languages in bilinguals assessed using functional transcranial Doppler ultrasound.,2021-08-20
979,Using Nonword Repetition to Identify Developmental Language Disorder in Monolingual and Bilingual Children: A Systematic Review and Meta-Analysis.,2021-08-19
980,Measuring the Impact of Bilingualism on Executive Functioning Via Inhibitory Control Abilities in Autistic Children.,2021-08-19
981,Database of word-level statistics for Mandarin Chinese (DoWLS-MAN).,2021-08-19
982,Implementation of multilingual support of the European Multicenter Study about Spinal Cord Injury (EMSCI) ISNCSCI calculator.,2021-08-19
983,Bibliometric Analysis and Review of Literature on the Relationship Between Voice Production and Bilingualism.,2021-08-19
984,Comparing English-Language and Chinese-Language Assessment of ,2021-08-18
985,"Development, translation, and validation of a bilingual questionnaire on unused medications in homes.",2021-08-18
986,General principles governing the amount of neuroanatomical overlap between languages in bilinguals.,2021-08-18
987,The Effect of Language Dominance on the Selective Attention of Segments and Tones in Urdu-Cantonese Speakers.,2021-08-17
988,Addressing Challenges in Formal Research on Moribund Heritage Languages: A Path Forward.,2021-08-17
989,Early Auditory Event-Related Potentials Are Modulated by Alphabetic Literacy Skills in Logographic Chinese Readers.,2021-08-17
990,Does Language Make a Difference? A Study of Language Dominance and Inhibitory Control.,2021-08-17
991,Chinese American Immigrant Parents' Socialization of Emotions in Bilingual Bicultural Preschool Children.,2021-08-17
992,Teaching Latinx students: Do teacher ethnicity and bilingualism matter?,2021-08-17
993,Bilingualism as a protective factor in aphasia.,2021-08-17
994,Differences in cognitive processing? The role of verbal processes and mental effort in bilingual and monolingual children's planning performance.,2021-08-14
995,"Knowledge, acceptance and perception on COVID-19 vaccine among Malaysians: A web-based survey.",2021-08-14
996,"Translation, adaptation and pilot testing of the Pictorial Fit-Frail Scale (PFFS) for use in Malaysia - The PFFS-Malay version (PFFS-M).",2021-08-14
997,The Effect of Orthographic Transparency on Auditory Word Recognition Across the Development of Reading Proficiency.,2021-08-14
998,The Building Blocks of Child Bilingual Code-Mixing: A Cross-Corpus Traceback Approach.,2021-08-14
999,"Majority language skill, not measures of bilingualism, predicts executive attention in bilingual children.",2021-08-14
1000,Major histocompatibility complex class II DR and DQ evolution and variation in wild capuchin monkey species (Cebinae).,2021-08-13
1001,Revisiting the Influences of Bilingualism and Developmental Language Disorder on Children's Nonverbal Processing Speed.,2021-08-13
1002,Bilingual adaptations in early development.,2021-08-12
1003,Influences on the physical activity of Syrian migrants in Germany: results of a qualitative study.,2021-08-12
1004,Translation and transcultural adaptation of the Modified Swallowing Assessment (MSA) to Brazilian Portuguese.,2021-08-12
1005,Lifelong Bilingualism Functions as an Alternative Intervention for Cognitive Reserve Against Alzheimer's Disease.,2021-08-10
1006,Bilingual Abstract Semantic Associative Network Training (BAbSANT): A Polish-English case study.,2021-08-08
1007,Protocol Paper: Conducting Life History Interviews to Explore the Journeys of People with Disability from Syrian and Iraqi Refugee Backgrounds Settling in Australia.,2021-08-08
1008,Sentence Repetition Tasks to Detect and Prevent Language Difficulties: A Scoping Review.,2021-08-07
1009,Rapid Independent Health Literacy Assessment: A Pilot Study Among Native English-speaking and Low English Proficiency Patients.,2021-08-07
1010,The Bilingual Home Language Boost Through the Lens of the COVID-19 Pandemic.,2021-08-07
1011,Differential impacts of natural L2 immersion and intensive classroom L2 training on cognitive control.,2021-08-07
1012,Development and implementation of the Ebola Exposure Window Calculator: A tool for Ebola virus disease outbreak field investigations.,2021-08-06
1013,Absence of a bilingual cognitive flexibility advantage: A replication study in preschoolers.,2021-08-06
1014,"Context, intersectionality, and resilience: Moving toward a more holistic study of bilingualism in cognitive science.",2021-08-06
1015,Disfluencies in English Speech Produced by Spanish-English Bilinguals.,2021-08-06
1016,Functional MRI of Native and Non-native Speech Sound Production in Sequential German-English Bilinguals.,2021-08-06
1017,The Prosody of Two-Syllable Words in French-Speaking Monolingual and Bilingual Children: A Focus on Initial Accent and Final Accent.,2021-08-05
1018,COVID term: a bilingual terminology for COVID-19.,2021-08-05
1019,Language acquisition of early sequentially bilingual children is moderated by short-term memory for order in developmental language disorder: Findings from the HelSLI study.,2021-08-03
1020,Attriters and Bilinguals: What's in a Name?,2021-08-03
1021,Coronagraben in Switzerland: culture and social distancing in times of COVID-19.,2021-08-03
1022,Bilingual phonological development across generations: Segmental accuracy and error patterns in second- and third-generation British Bengali children.,2021-08-01
1023,A Multivariate Interpretation of the Spanish-Language NIH Toolbox Cognition Battery: The Normal Frequency of Low Scores.,2021-07-31
1024,Effects of Language Context and Cultural Identity on the Pain Experience of Spanish-English Bilinguals.,2021-07-31
1025,HARMONY: a pragmatic cluster randomised controlled trial of a culturally competent systems intervention to prevent and reduce domestic violence among migrant and refugee families in general practice: study protocol.,2021-07-31
1026,Translation and validation of the Chinese version of the MD Anderson symptom inventory for measuring perioperative symptom burden in patients with gynecologic cancer.,2021-07-31
1027,Disentangling language status and country-of-origin explanations of the bilingual advantage in preschoolers.,2021-07-30
1028,"Innovative participatory bilingual data analysis with Latinx/@ immigrants: Language, power, and transformation.",2021-07-30
1029,Exploratory Qualitative Analysis of Early Literacy Engagement in Latinx Parents of a Child With a Cleft.,2021-07-29
1030,"The role of race, ethnicity, and language in care transitions.",2021-07-28
1031,Cross-linguistic differences in parafoveal semantic and orthographic processing.,2021-07-28
1032,A Simplified Approach to Quantifying a Child's Bilingual Language Experience.,2021-07-27
1033,"Bilingual experience and intrinsic functional connectivity in adults, aging, and Alzheimer's disease.",2021-07-27
1034,Unexpected words or unexpected languages? Two ERP effects of code-switching in naturalistic discourse.,2021-07-25
1035,The Effect of Bilingualism on Production and Perception of Vocal Fry.,2021-07-25
1036,"Building Capacity in Monitoring Urban Liveability in Bangkok: Critical Success Factors and Reflections from a Multi-Sectoral, International Partnership.",2021-07-25
1037,"Corrigendum to ""Data for the narrative skills of Urdu-speaking Preschoolers"" [Data in Brief, 34 (2021) 106,737].",2021-07-24
1038,GAT-LI: a graph attention network based learning and interpreting method for functional brain network classification.,2021-07-24
1039,Hands Down: Cognate Effects Persist During Written Word Production.,2021-07-23
1040,Rehabilitation of language processing disorders in bilingual patients with Alzheimer's disease.,2021-07-23
1041,The brain basis of handwriting deficits in Chinese children with developmental dyslexia.,2021-07-22
1042,"Effects of Word Semantic Transparency, Context Length, and L1 Background on CSL Learners' Incidental Learning of Word Meanings in Passage-Level Reading.",2021-07-22
1043,A community-engaged approach to examining barriers and facilitators to accessing autism services in Korean immigrant families.,2021-07-22
1044,French-language adaptation of the 16D and 17D Quality of Life measures and score description in two Canadian pediatric samples.,2021-07-22
1045,Language recovery through a two-stage awake surgery in an aphasic patient with a voluminous left fronto-temporo-insular glioma: case report.,2021-07-19
1046,The Parent's Perspective: A Focus Group Study on Spanish Interpreter Services for Hospitalized Children.,2021-07-18
1047,"Bilingual problem-solving training for caregivers of adults with dementia: A randomized, factorial-design protocol for the CaDeS trial.",2021-07-18
1048,Evidence for cognitive and brain reserve supporting executive control of memory in lifelong bilinguals.,2021-07-18
1049,Are synthetic clinical notes useful for real natural language processing tasks: A case study on clinical entity recognition.,2021-07-18
1050,Using Nonword Repetition to Identify Language Impairment in Bilingual Children: A Meta-Analysis of Diagnostic Accuracy.,2021-07-17
1051,"Colorectal Cancer Screening: A Quality Improvement Initiative Using a Bilingual Patient Navigator, Mobile Technology, and Fecal Immunochemical Testing to Engage Hispanic Adults.",2021-07-17
1052,Why bilingual development is not easy.,2021-07-17
1053,Supporting Newly Arrived Migrant Mothers: A Pilot Health Literacy Intervention.,2021-07-15
1054,Functional neuroanatomy of arithmetic in monolingual and bilingual adults and children.,2021-07-14
1055,Development and pilot testing of a training for bilingual community education professionals about hereditary breast and ovarian cancer among Latinas: ÁRBOLES Familiares.,2021-07-14
1056,"'No test, no disease': Multilevel barriers to HIV testing among young men who have sex with men and transgender women in three semi-urban areas in Thailand.",2021-07-14
1057,Dimensions of social categorization: Inside the role of language.,2021-07-13
1058,"Psychological distress, resettlement stress, and lower school engagement among Arabic-speaking refugee parents in Sydney, Australia: A cross-sectional cohort study.",2021-07-13
1059,What Happens When Individuals Answer Questionnaires in Two Different Languages.,2021-07-13
1060,Cross-Language Influences in the Processing of Multiword Expressions: From a First Language to Second and Back.,2021-07-13
1061,Rapid attentional adaptations due to language (monolingual vs bilingual) context.,2021-07-10
1062,Bilingual Supports for Clinicians: Where Do We Go From Here?,2021-07-10
1063,Brief Report: Unexpected Bilingualism: A Case of a Russian Child With ASD.,2021-07-10
1064,"Translation, Cross-Cultural Adaptation, and Psychometric Validation of the Chinese/Mandarin Cardiac Rehabilitation Barriers Scale (CRBS-C/M).",2021-07-10
1065,"Corrections for Kalashnikova et al. (2021), 'The effects of bilingualism on attentional processes in the first year of life'.",2021-07-09
1066,Translation and cross-cultural adaptation of the Chilean Version of the Voice Activity and Participation Profile - VAPP.,2021-07-08
1067,Bilingualism and Rapid Automatized Naming: effects of language switching on lexical access and reading speed.,2021-07-08
1068,"Spotlight on the Safety Net Bilingual, Bicultural CARE Health Ambassadors in Rural Western North Carolina: A Community Collaboration.",2021-07-08
1069,"What does the Sentence Structure component of the CELF-IV index, in monolinguals and bilinguals?",2021-07-08
1070,Neuroanatomical correlates of self-awareness of highly practiced visuomotor skills.,2021-07-07
1071,Spatial agency among children living in the Dheisheh refugee camp in the West Bank: a qualitative investigation of space and place as risk and protection factors from political and military violence.,2021-07-07
1072,Syntactic priming reveals an explicit syntactic representation of multi-digit verbal numbers.,2021-07-06
1073,"Russian-German five-year-olds: What omissions in sentence repetition tell us about linguistic knowledge, memory skills and their interrelation.",2021-07-06
1074,Stimulus and response conflict from a second language: Stroop interference in weakly-bilingual and recently-trained languages.,2021-07-05
1075,Within-language lexical interference can be resolved in a similar way to between-language interference.,2021-07-05
1076,Age-related changes of cognitive flexibility and planning skills in school-age Moroccan children.,2021-07-03
1077,The Bilingual Advantage in Children's Executive Functioning Is Not Related to Language Status: A Meta-Analytic Review.,2021-07-03
1078,Putting Mutual Exclusivity in Context: Speaker Race Influences Monolingual and Bilingual Infants' Word-Learning Assumptions.,2021-07-03
1079,Effects of Orthographic Consistency on Bilingual Reading: Human and Computer Simulation Data.,2021-07-03
1080,Dissociation of tone merger and congenital amusia in Hong Kong Cantonese.,2021-07-02
1081,Promoting Equity and Resilience: Wellness Navigators' Role in Addressing Adverse Childhood Experiences.,2021-07-02
1082,Cross-linguistic influence in simultaneous and early sequential bilingual children: a meta-analysis.,2021-06-30
1083,Development of the GABAergic and glutamatergic neurons of the lateral hypothalamus.,2021-06-29
1084,Switching between newly learned languages impacts executive control.,2021-06-29
1085,Lexical-semantic processing costs are not inherent to intra-sentential code-switching: The role of switching habits.,2021-06-27
1086,The bilingual structural connectome: Dual-language experiential factors modulate distinct cerebral networks.,2021-06-26
1087,Providing a parent-administered outcome measure in a bilingual family of a father and a mother of two adolescents with ASD: brief report.,2021-06-26
1088,The Bilingual Language Diversity of Latino Preschoolers: A Latent Profile Analysis.,2021-06-26
1089,Multilayer networks: An untapped tool for understanding bilingual neurocognition.,2021-06-25
1090,Syntactic complexity in translated and non-translated texts: A corpus-based study of simplification.,2021-06-25
1091,Older bilinguals reverse language dominance less than younger bilinguals: Evidence for the inhibitory deficit hypothesis.,2021-06-25
1092,Neural Evidence of Language Membership Control in Bilingual Word Recognition: An fMRI Study of Cognate Processing in Chinese-Japanese Bilinguals.,2021-06-25
1093,Exploring language dominance through code-switching: intervocalic voiced stop lenition in Afrikaans-Spanish bilinguals.,2021-06-24
1094,Validity and reliability of the Korean version of the Humanism Scale Short Form: A cross-sectional study.,2021-06-24
1095,Vowel development in young Mandarin-English bilingual children.,2021-06-24
1096,"[French translation, cultural adaptation and assessment of preliminary psychometric properties of the Protective Behavioral Strategies for Marijuana Scale].",2021-06-24
1097,Retrospective review of enquiries to the Québec diving medicine call centre: 2004 through 2018.,2021-06-23
1098,Calls to Action (Mobilizing Information) on Cancer in Online News: Content Analysis.,2021-06-22
1099,"Recruitment, Training, and Roles of the Bilingual, Bicultural ",2021-06-22
1100,Editorial: Bilingual and Multilingual Spoken-Word Recognition: Empirical and Theoretical Perspectives.,2021-06-22
1101,Validation of a Spanish Version of the Prolapse and Incontinence Knowledge Questionnaire.,2021-06-22
1102,Hand preference in referential gestures: Relationships to accessing words for speaking in monolingual and bilingual children.,2021-06-19
1103,Eastern-medicine doctors in 1910s Korea integrating Western medicine on their own terms.,2021-06-19
1104,Inhibitory and facilitatory effects of phonological and orthographic similarity on L2 word recognition across modalities in bilinguals.,2021-06-19
1105,Self-Regulatory Development in Children from Chinese Immigrant Families: Evidence for Commonality and Specificity.,2021-06-18
1106,Non-linguistic cognitive measures as predictors of functionally defined developmental language disorder in monolingual and bilingual children.,2021-06-18
1107,Group-level cortical functional connectivity patterns using fNIRS: assessing the effect of bilingualism in young infants.,2021-06-18
1108,Processing of Complement Coercion With Aspectual Verbs in Mandarin Chinese: Evidence From a Self-Paced Reading Study.,2021-06-18
1109,Spontaneous Production Rates in Music and Speech.,2021-06-18
1110,Comparing veterinary students' and practitioners' perceptions of communication in a bilingual context.,2021-06-17
1111,Characteristics of Effective Auditory Training: Implications From Two Training Programs That Successfully Trained Nonnative Cantonese Tone Identification in Monolingual Mandarin and Bilingual Mandarin-Taiwanese Tone Speakers.,2021-06-16
1112,Language profiles of Welsh-English bilingual children with Down syndrome.,2021-06-15
1113,Adaptation in Predictive Prosodic Processing in Bilinguals.,2021-06-15
1114,Translator's Style Through Lexical Bundles: A Corpus-Driven Analysis of Two English Translations of Hongloumeng.,2021-06-15
1115,Effect of Handwriting on Visual Word Recognition in Chinese Bilingual Children and Adults.,2021-06-15
1116,Intraword Variability in French-Speaking Monolingual and Bilingual Children.,2021-06-15
